Name,Address,Longitude,Latitude,OperatorID,Connector,Power
SCS Eingang 9 (AC),"SCS Ostring Eingang 9, 2334, Vösendorf",16.3192,48.10868,VIE,type2,11
HPC HUB Brunner Straße,"Brunner Straße 71, 1230, Wien",16.298319,48.137993,VIE,ccs,400
HPC HUB Brunner Straße,"Brunner Straße 71, 1230, Wien",16.298319,48.137993,VIE,ccs,400
HPC HUB Brunner Straße,"Brunner Straße 71, 1230, Wien",16.298319,48.137993,VIE,ccs,400
HPC HUB Brunner Straße,"Brunner Straße 71, 1230, Wien",16.298319,48.137993,VIE,ccs,400
HPC HUB Brunner Straße,"Brunner Straße 71, 1230, Wien",16.298319,48.137993,VIE,ccs,400
HPC HUB Brunner Straße,"Brunner Straße 71, 1230, Wien",16.298319,48.137993,VIE,ccs,400
Anzbachgasse 3,"Anzbachgasse  3, 1140, Wien",16.251777,48.207395,VIE,type2,11
Anzbachgasse 3,"Anzbachgasse  3, 1140, Wien",16.251777,48.207395,VIE,type2,11
Samptwandnergasse 2,"Samptwandnergasse  2, 1140, Wien",16.245232,48.203579,VIE,type2,11
Samptwandnergasse 2,"Samptwandnergasse  2, 1140, Wien",16.245232,48.203579,VIE,type2,11
Bujattigasse ggü. 35,"Bujattigasse  ggü. 35, 1140, Wien",16.255097,48.209165,VIE,type2,11
Bujattigasse ggü. 35,"Bujattigasse  ggü. 35, 1140, Wien",16.255097,48.209165,VIE,type2,11
Baron-Karl-Gasse 11/22,"Baron-Karl-Gasse  11/22, 1100, Wien",16.352877,48.154815,VIE,type2,11
Baron-Karl-Gasse 11/22,"Baron-Karl-Gasse  11/22, 1100, Wien",16.352877,48.154815,VIE,type2,11
Fuhrmannsgasse 2,"Fuhrmannsgasse  2, 1080, Wien",16.348235,48.209942,VIE,type2,11
Fuhrmannsgasse 2,"Fuhrmannsgasse  2, 1080, Wien",16.348235,48.209942,VIE,type2,11
Ebreichsdorf Hauptplatz,"Hauptplatz (Ebreichsdorf) 17, 2483, Ebreichsdorf",16.400368,47.962973,VIE,ccs,50
Ebreichsdorf Hauptplatz,"Hauptplatz (Ebreichsdorf) 17, 2483, Ebreichsdorf",16.400368,47.962973,VIE,chademo,50
Ebreichsdorf Hauptplatz,"Hauptplatz (Ebreichsdorf) 17, 2483, Ebreichsdorf",16.400368,47.962973,VIE,type2,22
ÖBB P&R Felixdorf,"Mühlstraße 1, 2603, Felixdorf",16.2477,47.8874,VIE,type2,11
ÖBB P&R Felixdorf,"Mühlstraße 1, 2603, Felixdorf",16.2477,47.8874,VIE,type2,11
ÖBB P&R Felixdorf,"Mühlstraße 1, 2603, Felixdorf",16.2477,47.8874,VIE,other,3
ÖBB P&R Felixdorf,"Mühlstraße 1, 2603, Felixdorf",16.2477,47.8874,VIE,type2,11
ÖBB P&R Felixdorf,"Mühlstraße 1, 2603, Felixdorf",16.2477,47.8874,VIE,type2,11
ÖBB P&R Felixdorf,"Mühlstraße 1, 2603, Felixdorf",16.2477,47.8874,VIE,other,3
Gemeindeamt Sooß,"Hauptstraße 48, 2504, Sooß",16.215374,47.984715,VIE,type2,11
Gemeindeamt Sooß,"Hauptstraße 48, 2504, Sooß",16.215374,47.984715,VIE,other,3
Vöslauer AG Paitzriegelgasse,"Quellenstraße  1, 2540, Bad Vöslau",16.225928,47.972597,VIE,type2,11
Vöslauer AG Paitzriegelgasse,"Quellenstraße  1, 2540, Bad Vöslau",16.225928,47.972597,VIE,type2,11
Vöslauer AG Paitzriegelgasse,"Quellenstraße  1, 2540, Bad Vöslau",16.225928,47.972597,VIE,other,3
Vöslauer AG Paitzriegelgasse,"Quellenstraße  1, 2540, Bad Vöslau",16.225928,47.972597,VIE,other,3
ÖBB P&R Bad Vöslau,"Kudernagasse 2, 2540, Bad Vöslau",16.222888,47.96806,VIE,type2,11
ÖBB P&R Bad Vöslau,"Kudernagasse 2, 2540, Bad Vöslau",16.222888,47.96806,VIE,type2,3
ÖBB P&R Bad Vöslau,"Kudernagasse 2, 2540, Bad Vöslau",16.222888,47.96806,VIE,type2,11
ÖBB P&R Bad Vöslau,"Kudernagasse 2, 2540, Bad Vöslau",16.222888,47.96806,VIE,type2,3
Burger King Tribuswinkel,"Neurißgasse 5, 2512, Tribuswinkel",16.275296,47.991389,VIE,ccs,50
Burger King Tribuswinkel,"Neurißgasse 5, 2512, Tribuswinkel",16.275296,47.991389,VIE,chademo,50
Burger King Tribuswinkel,"Neurißgasse 5, 2512, Tribuswinkel",16.275296,47.991389,VIE,type2,22
Bad Vöslau Badplatz,"Badplatz 1, 2540, Bad Vöslau",16.213019,47.967231,VIE,type2,11
Bad Vöslau Badplatz,"Badplatz 1, 2540, Bad Vöslau",16.213019,47.967231,VIE,type2,11
Reisenberg Station 1,"Wasenbrucker Straße 21a, 2440, Reisenberg",16.528656,47.996844,VIE,type2,11
Reisenberg Station 1,"Wasenbrucker Straße 21a, 2440, Reisenberg",16.528656,47.996844,VIE,type2,11
Burger King Leobersdorf,"Portugieser Straße 2B, 2544, Leobersdorf",16.20135,47.932071,VIE,ccs,50
Burger King Leobersdorf,"Portugieser Straße 2B, 2544, Leobersdorf",16.20135,47.932071,VIE,chademo,50
Burger King Leobersdorf,"Portugieser Straße 2B, 2544, Leobersdorf",16.20135,47.932071,VIE,type2,22
Enzesfeld-Lindabrunn Rathausplatz,"Rathausplatz 1, 2551, Enzesfeld-Lindabrunn",16.185478,47.920787,VIE,type2,11
Enzesfeld-Lindabrunn Rathausplatz,"Rathausplatz 1, 2551, Enzesfeld-Lindabrunn",16.185478,47.920787,VIE,type2,11
Blumen B&B,"Portugieserstrasse 1, 2544, Leobersdorf",16.200294,47.932114,VIE,ccs,150
Blumen B&B,"Portugieserstrasse 1, 2544, Leobersdorf",16.200294,47.932114,VIE,ccs,150
Blumen B&B,"Portugieserstrasse 1, 2544, Leobersdorf",16.200294,47.932114,VIE,ccs,150
Blumen B&B,"Portugieserstrasse 1, 2544, Leobersdorf",16.200294,47.932114,VIE,ccs,150
Spar Pottendorf,"Bahnstraße 5, 2486, Pottendorf",16.387859,47.908571,VIE,ccs,150
Spar Pottendorf,"Bahnstraße 5, 2486, Pottendorf",16.387859,47.908571,VIE,ccs,150
Schloßplatz 5,"Schloßplatz 5, 2540, Bad Vöslau",16.212916,47.965413,VIE,ccs,20
Schloßplatz 5,"Schloßplatz 5, 2540, Bad Vöslau",16.212916,47.965413,VIE,ccs,20
Leopold Klimesch Straße,"Leopold Klimesch Straße 24, 2512, Traiskirchen",16.293966,47.986557,VIE,type2,11
Leopold Klimesch Straße,"Leopold Klimesch Straße 24, 2512, Traiskirchen",16.293966,47.986557,VIE,type2,11
Wiener Straße 29c,"Wiener Straße 29c, 2483, Ebreichsdorf",16.398038,47.971118,VIE,type2,11
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
Sochor OBI Haidhofstraße Baden,"Haidhofstraße 145, 2500, Baden",16.281999,47.976297,VIE,ccs,50
KW Pusterwald,"Pusterwald  92a, 8764, Pusterwald",14.454446,47.304086,VIE,ccs,100
KW Pusterwald,"Pusterwald  92a, 8764, Pusterwald",14.454446,47.304086,VIE,ccs,100
